Arabic term,Meaning,Literal translation
السحت,"Illicit gain that morally corrupts or destroys the person who consumes it. It includes bribery, extortion, and other unlawful earnings.",dirty money
أكل أموال الناس,"Wrongfully taking, using, or benefiting from other people's wealth. ""Eating"" is a Qur'anic idiom for unjust appropriation.",taking people's wealth
المطل,"Culpably delaying payment of a due debt despite ability. It is a specific financial injustice, not general delay.",procrastination
التطفيف,"Giving less than what is due in weight, measure, quality, or rights. The Qur'anic warning extends beyond marketplace scales to any unfair shortchanging.",short weighing
الاحتكار,Withholding needed goods in order to create harmful scarcity or manipulate prices. It is a specific juristic wrong and is not identical to every monopoly.,monopoly
الغش,"Deceiving another by concealing defects or presenting something falsely. It includes commercial, educational, relational, and religious deception.",cheating
التدليس,"Concealing a relevant defect or creating a misleading impression in a transaction or transmitted report. Its specific technical meaning depends on whether the context is law, commerce, or hadith.",fraud
الخداع,Inducing a false belief through manipulation or concealed intent. It can describe interpersonal trickery or self-deception before Allah.,deception
المكر,"Secretly arranging an outcome through means the other party does not perceive. When attributed to Allah, it denotes His decisive response to wrongful plotting, not moral deceit.",plotting
الكيد,Purposeful hidden strategizing to overcome or harm an opponent. It can be defensive or blameworthy depending on agent and context.,scheme
العدوان,"Crossing protected limits and violating another person's body, property, dignity, or rights. It is broader than physical aggression.",aggression
الإثم,A culpable sin or moral burden that holds a person back from good. It can refer to the offence itself or the burden it creates.,sin
الفاحشة,A conspicuously grave indecency that exceeds moral limits. It often refers to sexual wrongdoing but is not limited to it.,immorality
الصغائر,"Sins classified as less grave than major sins. They remain blameworthy and can become severe through persistence, contempt, or accumulation.",small sins
المحقرات,Sins that people dismiss as insignificant even though their accumulation can be destructive. The word criticizes the person's minimization of them.,trivialities
الإصرار,"Knowingly persisting in wrongdoing without repentance. Persistence can make repeatedly dismissed ""small"" sins morally grave.",insistence
المجاهرة,"Openly publicizing one's sin without shame, sometimes encouraging others to imitate it. It does not include admitting a fault privately in order to seek help or repent.",openness
التبرج,Displaying adornment or bodily attractions in a conspicuous way prohibited by Islamic modesty norms. The precise application depends on legal and social context and is not identical to ordinary grooming.,self-expression
الخلوة,"Seclusion between adults of opposite sexes who are legally marriageable to one another, in circumstances where normal public access or oversight is absent. It is a technical legal setting, not every form of privacy.",privacy
الزنا,"Sexual intercourse outside a valid marriage as defined by Islamic law. The term includes both adultery and fornication, while legal punishment requires an exceptionally high standard of proof.",adultery
القذف,"Accusing a chaste person of unlawful sexual intercourse without the legally required proof. It is a specific major offence, not every form of defamation.",slander
الخمر,"Any intoxicating substance that clouds the intellect, classically exemplified by wine. The legal meaning is based on intoxication, not the source ingredient alone.",wine
الميسر,Gambling or games of chance in which wealth is transferred through uncertain gain and loss. It does not include every competition or ordinary business risk.,games
السحر,Occult practice seeking extraordinary effects through prohibited means. The theological and legal category should not be automatically applied to stage illusion or entertainment tricks.,magic
الكهانة,"Claiming access to hidden information through spirits or occult intermediaries. In sermon language, it means soothsaying, not priesthood.",priesthood
العرافة,"Claiming hidden knowledge through divination, signs, or alleged supernatural insight. It can include more than predicting future events.",fortune-telling
التطير,Treating an omen as an independent cause for good or bad action. It is specifically omen-based pessimism that alters decisions.,superstition
الطيرة,"The omen or superstitious foreboding itself. Its root arose from birds, but the concept covers many supposed signs.",bird omen
العصبية,"Partisan loyalty that supports one's tribe or group even when it is unjust. The condemnation concerns loyalty overriding truth, not group identity itself.",tribalism
الجاهلية,"A condition of ignorance, arrogance, and lawlessness opposed to divine guidance. It can describe recurring moral patterns, not only Arabia before Islam.",pre-Islamic era
الفساد,"Corruption or disorder that damages moral, social, political, economic, or environmental life. It is broader than bribery.",corruption
الإفساد,Actively causing corruption or undermining what is sound. It stresses agency in spreading damage.,spoiling
الفجور,"Brazen transgression that breaks through the restraints of righteousness. It evokes bursting beyond boundaries, often with shameless persistence.",wickedness
الطغيان,"Exceeding rightful limits through power, wealth, pride, or rebellion. It can describe people, societies, rulers, or even overflowing water.",tyranny
البغي,"Wrongful transgression, oppression, or pursuit of superiority. In legal and political contexts, it can also refer to rebellion, so the surrounding context matters.",rebellion
القسوة,"Hardness of heart that blocks mercy, receptivity, and moral response. It is inward insensitivity, not firm enforcement of justice.",harshness
الرَّان,"A Qur'anic image of rust or covering formed on the heart through accumulated sin. It describes loss of spiritual receptivity, not a physical substance.",stain
الطبع على القلب,"A Qur'anic image of the heart becoming unreceptive after persistent rejection. It describes a consequence of culpable refusal, not literal printing.",sealing the heart
الختم على القلب,"A Qur'anic image of the heart being sealed against guidance after persistent rejection. It is a grave spiritual condition, not a medical description.",heart closure
قسوة القلب,"Spiritual hardness that makes reminders and suffering fail to awaken mercy. It is a cultivated moral state, not an immutable personality trait.",hard-heartedness
موت القلب,"The heart's loss of spiritual awareness and responsiveness. A metaphor for moral-spiritual lifelessness, not bodily death.",death of the heart
هوى النفس,"Personal desire treated as an authority against truth and duty. The word does not condemn every desire, only desire followed in opposition to guidance.",personal desire
اتباع الشهوات,"Allowing appetites to direct conduct without lawful restraint. The criticism targets domination by desire, not human appetite itself.",following desires
طول الأمل,"Prolonged worldly expectation that delays repentance and useful action. It means living as though death and accountability were remote, not healthy hope.",long hope
الإعراض,"Deliberately turning away from truth or reminder after it reaches a person. It is active disengagement, not simple distraction or lack of exposure.",ignoring
اللهو,"Diversion that occupies a person away from what deserves greater priority. Its moral value depends on what it distracts from, not amusement alone.",entertainment
اللعب,"Play or activity treated without ultimate seriousness. In sermons, it often describes the temporary nature of worldly life and does not make all recreation forbidden.",playing
الاحتساب,Acting or enduring hardship while consciously seeking reward from Allah. Intention transforms ordinary service or suffering into an act of worship.,calculation
المصاب,"The affliction that has befallen a person. It may be bereavement, illness, loss, or any tested hardship.",injury
المصيبة,"A harmful event that strikes a person or community by Allah's permission. It can mean loss, illness, or public calamity and does not by itself prove divine anger.",disaster
الابتلاء,"A test from Allah that reveals, educates, and distinguishes people's responses. It can occur through prosperity as well as adversity.",ordeal
الامتحان,"A test that reveals the reality of faith, character, or ability. In sermon language, it is a moral or existential examination rather than an academic test.",exam
المحنة,"A severe ordeal that examines and exposes steadfastness. It implies prolonged pressure, including persecution.",crisis
الشدة,"A condition of constriction, hardship, or intensified difficulty. It can describe circumstances, not harsh character alone.",severity
الضراء,"Adversity involving pain, harm, or material constriction. It is commonly paired with prosperity and ease.",damage
السراء,"Prosperity and ease that can themselves test gratitude and character. It describes favourable circumstances, not happiness alone.",happiness
البأساء,"Severe deprivation, poverty, or distress that presses upon life. It emphasizes material hardship.",misery
الزلزلة,"A shaking that unsettles the earth, society, or a person's certainty. It may be literal, eschatological, or metaphorical for an extreme trial.",earthquake
الاضطرار,"A state of compelling necessity in which ordinary choice is severely constrained. In Islamic law, it can change rulings but requires more than inconvenience.",being forced
الضرورة,"A necessity whose absence threatens an essential interest such as life, religion, intellect, family, or property. It is a technical legal threshold, not every strong need.",need
الحاجة,A significant need whose neglect causes real hardship without reaching the level of dire necessity. Islamic law distinguishes it from both emergency and luxury.,want
العسر,"Genuine difficulty or constriction that may trigger lawful facilitation. It concerns burden, not moral harshness.",hardness
اليسر,"Ease and practicability intended within obedience to Allah. It does not mean that religion requires no effort, sacrifice, or discipline.",ease
الفرج بعد الشدة,Relief and opening granted by Allah after severe constriction. The phrase nurtures hope without guaranteeing a particular worldly result or timetable.,happy ending
حسن الظن بالله,"Hopeful confidence in Allah's wisdom, mercy, and fulfilment of His promise. It coexists with repentance and effort; it is not presumption of immunity from consequences.",positive thinking
الرضا بالقضاء,"Accepting Allah's decree without inward rebellion while continuing lawful action. It does not require liking pain, refusing treatment, or abandoning efforts at improvement.",resignation
التسليم,"Trustfully yielding one's judgment and will to established divine guidance. It is conscious submission, not unthinking passivity.",surrender
الأخذ بالأسباب,Using lawful practical causes and means while relying on Allah for the outcome. It rejects both fatalism and belief that causes operate independently of Him.,taking reasons
التواكل,Neglecting effort while falsely claiming reliance on Allah. It is the blameworthy opposite or counterfeit of genuine reliance.,mutual reliance
المقاومة,"Actively resisting oppression, temptation, or destructive pressure. Its moral value depends on what is resisted and the methods used.",resistance
جهاد النفس,"Sustained struggle to govern desire, anger, habit, and ego according to divine guidance. It is inner moral discipline, not violence against oneself.",struggle against the self
الصمود,Remaining purposeful and unbroken under sustained pressure. The word has modern political associations but also a wider meaning of resilient endurance.,steadfastness
المرونة,Adapting permissible methods while preserving essential principles. It is not surrendering foundational beliefs or duties.,flexibility
التعافي,"Gradual recovery after physical, emotional, communal, or spiritual harm. The word does not imply immediate or complete restoration.",healing
شرح الصدر,"An inward opening granted by Allah that produces receptivity, courage, and ease in carrying truth. It is a Qur'anic idiom, not a medical procedure.",opening the chest
ضيق الصدر,"Inner constriction expressed as distress, reluctance, or difficulty bearing a matter. It may be spiritual or emotional and should not automatically be treated as a medical diagnosis.",chest tightness
ربط القلب,Allah's strengthening and steadying a frightened or grieving heart. It is a Qur'anic image of stabilizing courage and certainty.,tying the heart
تثبيت الفؤاد,Strengthening the heart so it remains coherent and steadfast under intense emotional pressure. The expression emphasizes stabilization of the deeply affected inner self.,fixing the heart
جبر الخاطر,Comforting and restoring the dignity of a person whose inner state has been wounded. It is a common idiom for consoling the broken-hearted.,mending thoughts
الانكسار لله,"Humble contrition before Allah arising from awareness of need and fault. It is spiritually valued dependence, not abuse, despair, or damaged self-worth.",being broken
الافتقار إلى الله,"Recognizing one's complete need of Allah for existence, guidance, and ability. The poverty described is spiritual and existential, not financial.",poverty toward God
الهيبة,"Awe before greatness that restrains casual irreverence. It is an inward response to majesty, not social prestige.",prestige
الإشفاق,"Fear joined with tenderness, concern, and careful avoidance of harm. It can describe concern for oneself or compassionate fear for another.",pity
الأمن من مكر الله,"False confidence that one is safe from Allah's judgment while persisting in sin. The phrase condemns presumption, not hopeful trust in divine mercy.",feeling safe from Allah's plan
النذارة,"Advance warning that allows a person to avoid danger or punishment. In prophetic teaching, warning is a form of mercy because it precedes consequences.",threatening
الدلالة,"Indicating or pointing to a meaning, path, or evidence. It is cognitive indication and does not necessarily include acceptance.",guidance
الإرشاد,"Wise direction toward what benefits and away from harm. It is practical guidance, sometimes institutional or educational.",counselling
السداد,"Being directed to the accurate, fitting, and upright course. In sermons, it means soundness and correctness, not repayment of a debt.",repayment
الضلال,"Being lost from the path of guidance through ignorance, confusion, or rejection. The word has degrees and does not always imply deliberate unbelief.",misguidance
الزيغ,An inward inclination or turning away from truth. It often describes the heart beginning to deviate after encountering guidance.,deviation
الانتكاس,"A reversal from a better moral or spiritual state to a worse one. It implies falling back after progress, not every temporary weakness.",relapse
التغيير,"Bringing about a shift in condition, habit, or system. Legitimate change begins with moral agency but also requires wise means.",change
التزكية,"Purifying the soul while cultivating and increasing virtue. The word combines cleansing and growth, not ritual washing.",purification
التهذيب,"Refining character by removing coarseness and training good habits. It is moral cultivation, not punishment.",discipline
التربية,"Gradual nurturing that develops faith, knowledge, character, and ability. It is broader than classroom education.",education
التذكير,Renewing awareness of a truth that is known or naturally recognizable. It assumes human forgetfulness and invites moral response.,reminding
التبصير,"Helping people perceive realities, consequences, and priorities clearly. It means giving insight through explanation, not claiming secret illumination.",enlightenment
البلاغ,"Faithful and complete delivery of a message without concealment or alteration. The speaker is responsible for conveyance, not for forcing acceptance.",communication
الحكمة في الدعوة,"Choosing an appropriate message, method, time, and tone when inviting others to faith. Wisdom means beneficial and truthful delivery, not silence about truth.",wisdom in preaching
المجادلة بالتي هي أحسن,"Reasoned disagreement conducted through the most truthful, respectful, and effective means. The expression concerns both the quality of the argument and the manner of presenting it.",debating nicely
الأمر بالمعروف,"Promoting what revelation and sound moral judgment recognize as right. It requires knowledge, appropriate authority or ability, likely benefit, and avoidance of greater harm.",commanding good
النهي عن المنكر,"Seeking to prevent recognized wrongdoing through lawful, proportionate means. It is not a licence for vigilantism, humiliation, or uninformed interference.",forbidding evil
تغيير المنكر,"Working to remove wrongdoing according to one's authority, ability, and the likely consequences. Prophetic teaching distinguishes action, speech, and inward rejection.",changing evil
فقه الأولويات,"Understanding which duties, harms, and benefits deserve precedence. It prevents secondary matters from displacing essential obligations.",jurisprudence of priorities
فقه الواقع,Accurate understanding of the real circumstances relevant to applying religious guidance. Knowledge of context supplements rather than replaces knowledge of revelation and law.,understanding present realities
مآلات الأفعال,The foreseeable outcomes and downstream effects of actions. Ethical and legal judgment may consider consequences as well as immediate intention.,ends of actions
سد الذرائع,"Blocking an otherwise permissible means when it is strongly expected to lead to prohibited harm. The word ""means"" is more accurate here than ""excuses."".",closing excuses
درء المفاسد,"Preventing or removing genuine harms and corrupting consequences. The term refers to substantive harm, not merely what someone dislikes.",preventing harm
جلب المصالح,Securing genuine benefits recognized by revelation and sound reason. It does not mean pursuing private advantage at any cost.,bringing interests
الوحدة,Principled unity that prevents destructive division while allowing legitimate diversity. It does not require complete uniformity of opinion.,uniformity
التآلف,"Hearts becoming mutually familiar, harmonious, and connected. It describes relational cohesion created through mercy and shared good.",familiarity
الائتلاف,"Coming together upon compatible aims after difference. It can be communal concord, not only political alliance.",coalition
التفرق,"Divisive separation into rival paths, especially after clear guidance. The criticism is directed at destructive fragmentation, not every difference.",diversity
الاختلاف,"Difference in opinion, form, or condition. It may be legitimate or blameworthy depending on its cause, subject, manner, and consequences.",disagreement
الخلاف,"Divergence or opposition between positions or parties. It can describe scholarly disagreement, social conflict, or simply being contrary.",conflict
التنازع,"Mutual contest that drains strength and obstructs common action. It is reciprocal pulling apart, more disruptive than simple disagreement.",dispute
الشقاق,Deep and entrenched opposition in which the parties stand on separate sides. It describes more than ordinary disagreement.,discord
الصلح,A lawful reconciliation or binding settlement that ends conflict and restores workable relations. It means more than the absence of fighting.,peace
المصالحة,The process of restoring relations after conflict or wrongdoing. Sound reconciliation must address rights and accountability rather than conceal harm.,reconciliation
التحكيم,"Submitting a dispute to an agreed adjudicator for a ruling. It can be legal, familial, or political and requires defined authority.",arbitration
الوساطة,Mediation between parties or using one's position to facilitate access. It can be praiseworthy when just and blameworthy when it becomes favouritism.,mediation
الشفاعة الحسنة,"Interceding to secure a legitimate benefit or prevent harm. It must not corrupt justice, cancel another person's rights, or privilege someone undeserving.",good intercession
المحسوبية,"Granting advantage because of personal connections rather than merit or right. It is unjust patronage, not lawful recommendation or ordinary networking.",networking
التحيز,"Inclining unfairly toward a person, group, or preconception. It can also mean taking a side spatially; ethical context determines blame.",bias
العدل الاجتماعي,"A social order in which rights, opportunities, burdens, and protections are distributed justly. It does not necessarily require identical outcomes.",social justice
الكرامة,"God-given human dignity that forbids humiliation and unjust violation. In other contexts, the same word can also mean an extraordinary grace granted to a righteous person.",honour
حرمة الدم,"The inviolability of human life except through narrowly defined lawful authority. ""Blood"" is a legal idiom for life.",sanctity of blood
حرمة المال,"The protected legal status of another person's property. It means inviolability, not that money itself is sacred.",sanctity of property
حرمة العرض,"The protected dignity, reputation, and sexual honour of a person. Here the Arabic word means honour, not width or a presentation.",sanctity of honour
حق الجار,"The neighbour's claim to safety, kindness, assistance, and non-harm. It is a religiously weighted right, not optional friendliness.",the neighbour's right
الجار الجنب,"A neighbour who is unrelated, more distant, or outside one's close circle. Qur'anic commentators differ on the exact shade of meaning, so the phrase should not be translated mechanically.",the distant neighbour
الجار ذي القربى,A neighbour who is also near through kinship or close proximity. It combines overlapping claims of neighbourhood and closeness.,near neighbour
حق الطريق,"The ethical duties governing shared public space. They include avoiding harm, returning greetings, helping others, and behaving responsibly.",road rights
كف الأذى,"Actively withholding harm from people. It includes physical, verbal, emotional, and environmental injury.",stopping annoyance
إماطة الأذى,"Removing a harmful or obstructive thing from a public path. It is treated as faith-expressing service, not sanitation alone.",removing dirt
الإحسان إلى الجار,Excellent treatment of neighbours beyond bare non-harm. It adds proactive care to the minimum duty of safety.,kindness to neighbours
قطع الرحم,Wrongfully severing family relationships that one is religiously required to maintain. The word for kinship is literally connected with the womb but functions as an idiom.,cutting the womb
الإحسان إلى الوالدين,"Treating parents with excellence, especially in weakness and old age. It includes material, verbal, and emotional care.",kindness to parents
طاعة الوالدين,Obeying parents in lawful matters within the legitimate scope of their rights. It never requires obedience in sin or surrender of every adult decision.,obeying parents
رضا الوالدين,Parents' legitimate contentment arising from dutiful treatment. It is spiritually weighty but does not make unlawful demands binding.,parental approval
دعاء الوالد,"A parent's supplication, regarded in Prophetic teaching as especially consequential. It may be for or against the child, so parents are warned against invoking harm rashly.",parental wish
حقوق الأبناء,"Children's claims to care, protection, education, justice, and compassionate upbringing. They are obligations owed by caregivers, not optional benefits.",children's rights
التسمية الحسنة,Giving a child a dignified and religiously acceptable name. It is treated as part of identity and parental responsibility.,a nice label
النفقة,"Obligatory financial maintenance owed to specified dependants. It is a legal duty with scope determined by relationship, means, and custom.",spending
الحضانة,Day-to-day care and upbringing of a child by the legally entitled caregiver. It focuses on nurturing care; it is distinct from financial guardianship.,custody
الولاية على الصغير,"Legal authority and responsibility for a minor's person or property. It is fiduciary guardianship, not possession.",guardianship of a minor
القوامة,"The husband's responsibility for maintenance, protection, and accountable leadership within the family. Interpretations differ on its scope, but it denotes duty and responsibility rather than intrinsic human superiority.",male superiority
المعاشرة بالمعروف,"Conducting married life according to recognized goodness, fairness, and kindness. The standard is shaped by revelation and sound custom.",kind marital treatment
السكن,"Repose, security, and settled companionship within marriage. It refers to emotional and relational tranquillity, not housing alone.",housing
المودة والرحمة,"Affectionate attachment and merciful care sustaining marriage. The pair joins attraction with compassionate commitment, especially when feelings fluctuate.",love and mercy
الميثاق الغليظ,"A solemn and weighty covenant; in family sermons, the binding marriage bond. ""Weighty"" expresses seriousness, not physical thickness.",thick contract
النكاح,"The legally recognized marital union or marriage contract. In some legal and textual contexts, the word can also refer to consummation.",sexual intercourse
العقد,"A binding agreement formed through offer, acceptance, and valid conditions. Its root image is tying, which explains its legal sense of contract.",knot
المهر,The obligatory marital gift owed by the husband directly to the wife. It belongs to her and is not payment for purchasing her.,bride price
الصداق,"The marital gift given to the wife as a sign of serious commitment. It is closer to ""dower"" than ""dowry"" in English usage.",dowry
الخِطبة,"A marriage proposal or engagement process before the marriage contract. With different vowel marks, the same written form can mean a formal sermon.",sermon
الرضاع,"Milk-kinship created through qualifying breastfeeding. It has legal effects on marriageability and family interaction, not only nutritional meaning.",nursing
المحرم,"A close relative whom a person is permanently forbidden to marry because of blood relationship, breastfeeding, or marriage. Temporary marriage prohibition does not by itself create mahram status.",forbidden person
غير المحرم,A person of the opposite sex who is not a mahram and is therefore legally marriageable in principle. The category is legal and does not imply unfamiliarity or untrustworthiness.,stranger
العورة,Parts of the body or areas of vulnerability that must be covered or protected in a particular legal context. The exact scope varies by person and situation.,nakedness
الستر الأسري,"Protecting family privacy and dignity while responsibly addressing wrongdoing. It does not justify concealing abuse, silencing victims, or preventing access to help.",family secrecy
الشورى الأسرية,"Consultative family decision-making that respects roles and affected members. It is principled consultation, not necessarily majority voting.",family democracy
الإصلاح بين الزوجين,"Helping spouses restore justice and workable relations. Reconciliation should not normalize violence, erase rights, or pressure someone to remain in danger.",marital reconciliation
النشوز,"Serious marital breach, defiance, or failure to fulfil core marital duties. Qur'anic and juristic discussions can apply the concept to either spouse, so context is required.",marital defiance
الهجر,"Separation, abandonment, or deliberate distancing. Its ruling depends on the cause, duration, manner, and resulting harm.",boycott
الطلاق,"Formal dissolution of marriage through a recognized legal procedure. Different forms have distinct rules concerning revocability, wording, and waiting periods.",divorce
الخلع,"A form of marital dissolution initiated by the wife, commonly involving agreed compensation. It is distinct from divorce pronounced by the husband and does not imply that freedom is being purchased as property.",wife-initiated divorce
الفسخ,Annulment or rescission of a marriage or other contract because of a legally recognized cause. It is distinct from divorce pronounced by the husband.,divorce
العدة,A prescribed waiting period after divorce or widowhood. Its length and legal purposes vary by circumstance; it is not always a mourning period.,mourning period
الرجعة,Restoration of a revocably divorced marriage during the waiting period. It has legal conditions and is not ordinary reconciliation after any divorce.,return
الميراث,"Wealth and rights transferred after death according to prescribed shares and causes. It is a legal system, not discretionary family distribution.",inheritance
التركة,"The net estate left after funeral expenses, debts, and valid bequests are addressed. It is the pool from which heirs' shares are distributed.",inheritance
الوصية,A testamentary instruction effective after death within legal limits; the same word can also mean solemn advice or counsel.,will
الوارث,A person entitled to inherit by a recognized legal cause. It does not mean every relative or named beneficiary is an heir.,successor
اليتيم,"A child whose father died before the child reached puberty. The classical legal status ends at puberty, though the person's vulnerability may continue.",orphan
كفالة اليتيم,"Sponsoring, protecting, and caring for an orphan while preserving the child's biological lineage. It differs from adoption that legally replaces parentage.",adoption
التبني,Legally attributing an adopted child as one's biological child with resulting lineage effects. This is distinct from the highly encouraged care and sponsorship of orphans.,care for an orphan
اللقيط,"A found or abandoned child whose parentage is unknown and who is entitled to protection, identity safeguards, and care. The term does not imply moral blame or proven illegitimacy.",illegitimate child
ابن السبيل,"A traveller cut off from resources and entitled to assistance. It is a Qur'anic idiom meaning ""the stranded traveller."".",son of the road
المسكين,"A person whose available resources do not adequately meet basic needs. It is an economic and legal category, not an insult meaning miserable.",miserable person
الفقير,A person lacking sufficient means. Legal schools differ on the precise comparison between this category and the closely related category of miskin.,poor person
المستضعف,"A person or group made weak through oppression, exclusion, or structural powerlessness. The passive form highlights imposed vulnerability, not inferior worth.",inherently weak
اللاجئ,"A person seeking protection after displacement from home or country. It carries duties of refuge, dignity, and aid.",fugitive
النازح,"A person displaced within or away from their locality by danger. It denotes forced internal displacement, not voluntary relocation.",migrant
الغارم,A person burdened by legitimate debt who may qualify to receive obligatory alms. It does not mean every borrower or every bankrupt person.,bankrupt person
عتق الرقبة,"Freeing an enslaved person. The phrase uses ""neck"" as a metonym for the whole human being.",freeing a neck
فك الأسير,"Securing the release of a captive or unjustly detained person. It includes ransom, negotiation, advocacy, or lawful intervention.",untie the prisoner
المواطنة,Civic membership involving reciprocal rights and responsibilities. It is a modern legal and social concept and should not be confused with ethnic nationalism.,nationalism
أهل الذمة,A historical legal category for non-Muslim subjects protected by a covenant under a Muslim polity. The term belongs to a particular juristic and historical framework and should be explained rather than equated with modern citizenship.,protected non-Muslim citizens
المعاهد,A non-Muslim person or party protected by a treaty or covenant. Their safety and rights arise from the binding agreement.,ally
المستأمن,"A person granted temporary security and protected entry. The grant of safety creates legal inviolability, not mere hospitality.",foreigner
الأمان,"A binding grant or pledge of safety and non-aggression. In legal usage, it creates enforceable protection rather than only a feeling of security.",safety
التعايش,Living peacefully with people of different identities or beliefs while protecting mutual rights. It does not require theological agreement.,coexistence
التعارف,Coming to know and recognize one another across peoples and groups in a way that supports cooperation and rejects contemptuous hierarchy.,acquaintance
التسامح,Forbearing and gracious treatment that allows lawful difference. It does not mean declaring all beliefs identical or abandoning justice.,tolerance
حفظ النظام العام,"Protecting the shared public order necessary for safety, rights, and social functioning. Public order remains subject to justice and lawful limits.",preserving public order
المصلحة العامة,"The genuine welfare of the community as a whole. It is not automatically identical to the preference of rulers, majorities, or the state.",state interest
المال العام,Property held for the community and administered as a public trust. It is not the private property of officeholders or government employees.,government money
العرف,"A recurrent social custom that Islamic law may consider when it is established, relevant, and not contrary to revelation. An occasional or corrupt habit does not qualify.",tradition
الحكم الشرعي,"The religious legal classification attached to an act or situation, such as obligatory, recommended, permissible, disliked, or forbidden. It is a technical ruling, not a personal opinion.",religious judgment
القضاء الشرعي,"Binding adjudication of disputes by an authorized judge applying Islamic legal principles. Here ""qada"" means judicial judgment, not divine destiny.",religious fate
القاضي,"An authorized judge whose ruling resolves a litigated dispute within their jurisdiction. The role is judicial, not simply scholarly.",religious scholar
المجتهد,"A scholar qualified to derive legal rulings through disciplined interpretation of evidence. The title requires extensive competence, not personal independence of thought alone.",independent jurist
المذهب,"A coherent school of legal interpretation, principles, and accumulated juristic reasoning. It ordinarily means a school of law, not a religious sect.",sect
أصول الفقه,The principles and methods governing how Islamic legal rulings are derived and how evidence is evaluated. It is not a list of elementary rules.,principles of jurisprudence
الفروع,Derived practical rulings and subsidiary legal questions. They are applications distinguished from foundational creed and from the principles used to derive law.,branches
النص,"Authoritative textual wording; in legal theory, it can also mean wording whose indication is especially clear. Written passages can differ in their degree of decisiveness.",text
الظاهر,"The meaning most immediately indicated by wording while remaining open to reinterpretation when stronger evidence requires it. It is a technical level of textual indication, not superficial reading.",apparent
المؤول,Wording interpreted away from its more apparent sense because of valid evidence. The interpretation is evidence-based and need not always be figurative.,allegorical
المجمل,Wording whose intended detail is not independently clear and therefore requires explanation. It does not simply mean a concise summary.,summary
المبين,"A text or explanation that clarifies wording that was general, compressed, or uncertain. In legal theory, it means clarified rather than merely obvious.",obvious
العام,"Wording that encompasses all members of a class unless qualified. It is a technical scope category, not merely vague language.",general
الخاص,"Wording restricted to particular members or cases. It means legally specific, not confidential.",private
المطلق,"An unqualified expression referring to an instance without a limiting attribute. It is a technical semantic category, not necessarily metaphysical absoluteness.",absolute
المقيد,"An expression limited by a stated quality, condition, or circumstance. It is read with related evidence according to methodological rules.",restricted
الإجماع,"The authoritative agreement of qualified Muslim scholars on a religious ruling, according to the technical conditions accepted in legal theory. It is not an opinion poll or simple majority.",consensus
القياس,"Extending a known legal ruling to a new case because both share the same effective legal cause. It is structured juristic analogy, not loose resemblance.",analogy
العلة,The legally operative attribute because of which a ruling applies. It is distinct from the broader wisdom or benefit served by the ruling.,cause
الحكمة التشريعية,"The benefit, purpose, or wise consideration served by a legal ruling. It may explain a rule without being the exact legal trigger for applying it.",legal philosophy
المقاصد,"The higher objectives and purposes protected and advanced by Islamic law. They are systemic goals, not an individual's private intention.",intentions
الضروريات,"The indispensable interests whose loss gravely damages religious and human life. In maqasid theory, they commonly include religion, life, intellect, family or lineage, and property.",necessities
الحاجيات,Needs that remove substantial hardship without reaching the level of indispensable necessity. They form a technical middle category between necessities and refinements.,needs
التحسينيات,"Refinements that complete dignity, ethics, cleanliness, and social beauty. They are not trivial luxuries, even though they rank below necessities and major needs.",improvements
المصلحة,A genuine benefit recognized by revelation and sound reason. It does not mean private advantage or whatever appears useful in the short term.,interest
المصلحة المرسلة,"A public benefit not specifically affirmed or rejected by a text but consistent with the objectives of Islamic law. Jurists use it under disciplined conditions, not to override revelation.",unrestricted public interest
الاستحسان,"Preferring a stronger equitable or evidentiary consideration over an otherwise applicable analogy. It is a technical legal method, not choosing what feels pleasant.",juristic preference
الاستصحاب,Presuming that an established state continues until evidence proves a change. Examples include the presumption of innocence or continued ritual purity.,continuity
البراءة الأصلية,"The presumption that no obligation or liability exists without evidence. It concerns legal burden, not a claim that a person is morally perfect.",original innocence
اليقين لا يزول بالشك,"An established certainty is not removed by later mere doubt. This legal maxim applies widely in worship, transactions, and evidence.",certainty is not removed by doubt
المشقة تجلب التيسير,Recognized excessive hardship can activate lawful ease or concession. Ordinary inconvenience does not automatically change a ruling.,hardship brings ease
الضرر يزال,Legally recognized harm should be prevented or removed through a proportionate remedy. Harm may not be removed by causing an equal or greater harm.,harm disappears
لا ضرر ولا ضرار,Neither initiating wrongful harm nor responding with wrongful harm is permitted. It is a foundational legal and ethical maxim.,no harm
العادة محكمة,"Sound and established custom can guide legal interpretation where revelation leaves room. The custom must be prevalent, relevant, and not contrary to a religious rule.",habit is a judge
الأمور بمقاصدها,Acts are legally evaluated according to their purposes and intentions. A good intention does not make a prohibited means lawful.,acts are judged by intentions
الرخصة,"A lawful concession granted because of a recognized excuse such as illness, travel, or hardship. It is part of the law, not evasion or weaker faith.",permission
العزيمة,"The normal primary ruling that applies when no exceptional excuse is present. Here the word is a legal category, not determination or willpower.",determination
الفرض,A binding religious obligation. Some schools distinguish technically between this category and wajib; the word can also mean an assigned share or measured duty.,obligation
المندوب,An act rewarded when performed but not sinful when omitted. It is a technical category for recommended conduct.,recommended
السنة المؤكدة,"A Prophetic practice consistently maintained and therefore strongly emphasized, though not generally obligatory. It is a legal devotional category, not merely a historically confirmed tradition.",emphasized Sunnah
