Arabic term,Meaning,Literal translation,Arabic variations + translation,Alternative context meaning(s)
الصداق,"The marital gift given to the wife as a sign of serious commitment. It is closer to ""dower"" than ""dowry"" in English usage.",dowry,,
الخِطبة,"A marriage proposal or engagement process before the marriage contract. With different vowel marks, the same written form can mean a formal sermon.",sermon,,
المحرم,"A close relative whom a person is permanently forbidden to marry because of blood relationship, breastfeeding, or marriage. Temporary marriage prohibition does not by itself create mahram status.",forbidden person,,
غير المحرم,A person of the opposite sex who is not a mahram and is therefore legally marriageable in principle. The category is legal and does not imply unfamiliarity or untrustworthiness.,stranger,,
العورة,Parts of the body or areas of vulnerability that must be covered or protected in a particular legal context. The exact scope varies by person and situation.,nakedness,,
الستر الأسري,"Protecting family privacy and dignity while responsibly addressing wrongdoing. It does not justify concealing abuse, silencing victims, or preventing access to help.",family secrecy,,
الشورى الأسرية,"Consultative family decision-making that respects roles and affected members. It is principled consultation, not necessarily majority voting.",family democracy,,
النشوز,"Serious marital breach, defiance, or failure to fulfil core marital duties. Qur'anic and juristic discussions can apply the concept to either spouse, so context is required.",marital defiance,,
الهجر,"Separation, abandonment, or deliberate distancing. Its ruling depends on the cause, duration, manner, and resulting harm.",boycott,,
الخلع,"A form of marital dissolution initiated by the wife, commonly involving agreed compensation. It is distinct from divorce pronounced by the husband and does not imply that freedom is being purchased as property.",wife-initiated divorce,,
الفسخ,Annulment or rescission of a marriage or other contract because of a legally recognized cause. It is distinct from divorce pronounced by the husband.,divorce,,
العدة,A prescribed waiting period after divorce or widowhood. Its length and legal purposes vary by circumstance; it is not always a mourning period.,mourning period,,
الرجعة,Restoration of a revocably divorced marriage during the waiting period. It has legal conditions and is not ordinary reconciliation after any divorce.,return,,
كفالة اليتيم,"Sponsoring, protecting, and caring for an orphan while preserving the child's biological lineage. It differs from adoption that legally replaces parentage.",adoption,,
التبني,Legally attributing an adopted child as one's biological child with resulting lineage effects. This is distinct from the highly encouraged care and sponsorship of orphans.,care for an orphan,,
اللقيط,"A found or abandoned child whose parentage is unknown and who is entitled to protection, identity safeguards, and care. The term does not imply moral blame or proven illegitimacy.",illegitimate child,,
ابن السبيل,"A traveller cut off from resources and entitled to assistance. It is a Qur'anic idiom meaning ""the stranded traveller."".",son of the road,,
المسكين,"A person whose available resources do not adequately meet basic needs. It is an economic and legal category, not an insult meaning miserable.",miserable person,,
المستضعف,"A person or group made weak through oppression, exclusion, or structural powerlessness. The passive form highlights imposed vulnerability, not inferior worth.",inherently weak,,
الغارم,A person burdened by legitimate debt who may qualify to receive obligatory alms. It does not mean every borrower or every bankrupt person.,bankrupt person,,
عتق الرقبة,"Freeing an enslaved person. The phrase uses ""neck"" as a metonym for the whole human being.",freeing a neck,,
أهل الذمة,A historical legal category for non-Muslim subjects protected by a covenant under a Muslim polity. The term belongs to a particular juristic and historical framework and should be explained rather than equated with modern citizenship.,protected non-Muslim citizens,,
المعاهد,A non-Muslim person or party protected by a treaty or covenant. Their safety and rights arise from the binding agreement.,ally,,
المستأمن,"A person granted temporary security and protected entry. The grant of safety creates legal inviolability, not mere hospitality.",foreigner,,
الأمان,"A binding grant or pledge of safety and non-aggression. In legal usage, it creates enforceable protection rather than only a feeling of security.",safety,,
التعارف,Coming to know and recognize one another across peoples and groups in a way that supports cooperation and rejects contemptuous hierarchy.,acquaintance,تَعَارَفَ (verb) — get to know one another; become acquainted | مُتَعَارَف عَلَيْهِ (adjective) — customary; commonly accepted,
المصلحة العامة,"The genuine welfare of the community as a whole. It is not automatically identical to the preference of rulers, majorities, or the state.",state interest,,
العرف,"A recurrent social custom that Islamic law may consider when it is established, relevant, and not contrary to revelation. An occasional or corrupt habit does not qualify.",tradition,,Different lexical sense: crest/mane; raised ridge.
الحكم الشرعي,"The religious legal classification attached to an act or situation, such as obligatory, recommended, permissible, disliked, or forbidden. It is a technical ruling, not a personal opinion.",religious judgment,,
القضاء الشرعي,"Binding adjudication of disputes by an authorized judge applying Islamic legal principles. Here ""qada"" means judicial judgment, not divine destiny.",religious fate,,
المجتهد,"A scholar qualified to derive legal rulings through disciplined interpretation of evidence. The title requires extensive competence, not personal independence of thought alone.",independent jurist,,
المذهب,"A coherent school of legal interpretation, principles, and accumulated juristic reasoning. It ordinarily means a school of law, not a religious sect.",sect,,General intellectual context: school of thought; ideological position.
أصول الفقه,The principles and methods governing how Islamic legal rulings are derived and how evidence is evaluated. It is not a list of elementary rules.,principles of jurisprudence,,
الفروع,Derived practical rulings and subsidiary legal questions. They are applications distinguished from foundational creed and from the principles used to derive law.,branches,,
النص,"Authoritative textual wording; in legal theory, it can also mean wording whose indication is especially clear. Written passages can differ in their degree of decisiveness.",text,,
الظاهر,"The meaning most immediately indicated by wording while remaining open to reinterpretation when stronger evidence requires it. It is a technical level of textual indication, not superficial reading.",apparent,,"Theological context: al-Ẓāhir, 'the Manifest', a divine name."
المؤول,Wording interpreted away from its more apparent sense because of valid evidence. The interpretation is evidence-based and need not always be figurative.,allegorical,,
المجمل,Wording whose intended detail is not independently clear and therefore requires explanation. It does not simply mean a concise summary.,summary,,
المبين,"A text or explanation that clarifies wording that was general, compressed, or uncertain. In legal theory, it means clarified rather than merely obvious.",obvious,,
العام,"Wording that encompasses all members of a class unless qualified. It is a technical scope category, not merely vague language.",general,,Different pronunciation (العَام): year.
الخاص,"Wording restricted to particular members or cases. It means legally specific, not confidential.",private,,
المطلق,"An unqualified expression referring to an instance without a limiting attribute. It is a technical semantic category, not necessarily metaphysical absoluteness.",absolute,,
المقيد,"An expression limited by a stated quality, condition, or circumstance. It is read with related evidence according to methodological rules.",restricted,,
القياس,"Extending a known legal ruling to a new case because both share the same effective legal cause. It is structured juristic analogy, not loose resemblance.",analogy,,
العلة,The legally operative attribute because of which a ruling applies. It is distinct from the broader wisdom or benefit served by the ruling.,cause,,Medical context: illness; ailment.
الحكمة التشريعية,"The benefit, purpose, or wise consideration served by a legal ruling. It may explain a rule without being the exact legal trigger for applying it.",legal philosophy,,
المقاصد,"The higher objectives and purposes protected and advanced by Islamic law. They are systemic goals, not an individual's private intention.",intentions,,
الضروريات,"The indispensable interests whose loss gravely damages religious and human life. In maqasid theory, they commonly include religion, life, intellect, family or lineage, and property.",necessities,,
الحاجيات,Needs that remove substantial hardship without reaching the level of indispensable necessity. They form a technical middle category between necessities and refinements.,needs,,
التحسينيات,"Refinements that complete dignity, ethics, cleanliness, and social beauty. They are not trivial luxuries, even though they rank below necessities and major needs.",improvements,,
المصلحة,A genuine benefit recognized by revelation and sound reason. It does not mean private advantage or whatever appears useful in the short term.,interest,,
المصلحة المرسلة,"A public benefit not specifically affirmed or rejected by a text but consistent with the objectives of Islamic law. Jurists use it under disciplined conditions, not to override revelation.",unrestricted public interest,,
الاستحسان,"Preferring a stronger equitable or evidentiary consideration over an otherwise applicable analogy. It is a technical legal method, not choosing what feels pleasant.",juristic preference,اِسْتَحْسَنَ (verb) — approve; consider good | مُسْتَحْسَن (adjective) — approved; favorable,
الاستصحاب,Presuming that an established state continues until evidence proves a change. Examples include the presumption of innocence or continued ritual purity.,continuity,اِسْتَصْحَبَ (verb) — accompany; take along,
البراءة الأصلية,"The presumption that no obligation or liability exists without evidence. It concerns legal burden, not a claim that a person is morally perfect.",original innocence,,
اليقين لا يزول بالشك,"An established certainty is not removed by later mere doubt. This legal maxim applies widely in worship, transactions, and evidence.",certainty is not removed by doubt,,
المشقة تجلب التيسير,Recognized excessive hardship can activate lawful ease or concession. Ordinary inconvenience does not automatically change a ruling.,hardship brings ease,,
الضرر يزال,Legally recognized harm should be prevented or removed through a proportionate remedy. Harm may not be removed by causing an equal or greater harm.,harm disappears,,
لا ضرر ولا ضرار,Neither initiating wrongful harm nor responding with wrongful harm is permitted. It is a foundational legal and ethical maxim.,no harm,,
العادة محكمة,"Sound and established custom can guide legal interpretation where revelation leaves room. The custom must be prevalent, relevant, and not contrary to a religious rule.",habit is a judge,,
الأمور بمقاصدها,Acts are legally evaluated according to their purposes and intentions. A good intention does not make a prohibited means lawful.,acts are judged by intentions,,
الرخصة,"A lawful concession granted because of a recognized excuse such as illness, travel, or hardship. It is part of the law, not evasion or weaker faith.",permission,,Administrative context: license; official permit.
العزيمة,"The normal primary ruling that applies when no exceptional excuse is present. Here the word is a legal category, not determination or willpower.",determination,,
الفرض,A binding religious obligation. Some schools distinguish technically between this category and wajib; the word can also mean an assigned share or measured duty.,obligation,,Logic/mathematics: assumption; hypothesis.
المندوب,An act rewarded when performed but not sinful when omitted. It is a technical category for recommended conduct.,recommended,,Administrative/diplomatic context: delegate; representative.
السنة المؤكدة,"A Prophetic practice consistently maintained and therefore strongly emphasized, though not generally obligatory. It is a legal devotional category, not merely a historically confirmed tradition.",emphasized Sunnah,,
المشتبهات,"Matters whose lawful or unlawful status is unclear to many people. Avoiding them may protect faith and reputation, but uncertainty alone does not make an act forbidden.",suspicious things,,
الاحتياط الفقهي,Choosing a legally safer course when credible uncertainty remains. Precaution is not always obligatory and should not create baseless hardship.,precaution,,
رفع التكليف,The absence or cessation of religious legal responsibility because a recognized condition is missing or an excuse applies. It does not refer to employment duties.,lifting assignment,,
المكلف,"A person who is legally accountable because the relevant conditions, such as maturity and sound intellect, are present.",assigned person,,
الأهلية,"Legal capacity to possess rights, bear obligations, and perform valid legal acts. It has degrees and is not identical to everyday intelligence or skill.",competence,,
القصد,A deliberate aim or direction of the will. It overlaps with intention but may be broader and more directly connected with action.,intention,,General directional context: destination; direction one heads toward.
التعدي,Crossing a lawful limit or exceeding the permission given. It can create legal liability even without malicious intent.,assault,,
الضمان,"Legal liability to compensate for damage, loss, or an obligation; in other contexts, a guarantee or surety. The exact sense depends on the transaction.",guarantee,,
الحق,"Truth, a valid claim, an entitlement, or an established reality. Because the word is highly polysemous, divine truth and a person's legal right require different English renderings.",right,,"Theological context: al-Ḥaqq, 'the Truth/Real', a divine name."
الباطل,"What lacks valid foundation, contradicts truth, or is legally void. It can describe a belief, argument, act of worship, or contract.",false,,
الصحة,"Legal validity, meaning that an act or contract fulfils its required conditions and produces its intended legal effects. It does not mean physical health.",health,,
البطلان,"Legal invalidity that prevents an act or contract from producing its intended effects. It is a technical status, not simply moral falsehood.",falsehood,,
الفساد العقدي,"A defect that makes a contract irregular or invalid, with the exact distinction varying by legal school. Here ""corruption"" is a technical contract status.",corruption,,
السبب,"A legally recognized event or attribute that triggers a ruling, such as sunset triggering the time for prayer. It is more precise than an ordinary reason.",reason,,Classical/Qur'anic context: means of access; connecting means.
المانع,"A factor whose presence prevents a ruling from applying even though its cause exists. It is a legal impediment, not necessarily a physical obstacle.",obstacle,,
الإجارة,A contract exchanging payment for a defined service or benefit. It includes leases and many service or employment arrangements.,rent,,
الدين المالي,"A financial obligation recorded against a person's liability. Without vowel marks, the Arabic spelling is identical to a different word meaning religion.",religion,,
الرهن,Property held as security for a debt. It functions as collateral and does not necessarily transfer ownership or refer only to real estate.,mortgage,,
الشركة,"A partnership based on shared ownership, capital, labour, or profit. It is broader than the modern corporate company.",company,,
الغرر,Excessive uncertainty in a contract that creates unfair exposure to dispute or loss. Islamic law does not prohibit every uncertainty or ordinary business risk.,risk,,
الجهالة,"Material lack of knowledge about a contract's subject, price, quantity, or terms. Here it means legally relevant uncertainty, not general ignorance.",ignorance,,
الخيار,"A contractual option allowing a party to confirm or cancel a transaction under defined grounds or within a stated period. It is a technical right, not preference alone.",choice,,Homonym with the same vocalization (الخِيَار): cucumber.
النصاب,"The minimum amount of qualifying wealth that triggers certain obligatory alms. In this context it is a financial threshold, not a quorum.",quorum,,Different pronunciation (النَّصَّاب): swindler; scammer.
الحول,Completion of a lunar year for forms of wealth where a holding period is required before obligatory alms become due. The word has other meanings outside this context.,year,,"Classical/theological formula: power; capacity, as in 'لا حول ولا قوة إلا بالله'."
العشر,A one-tenth agricultural levy in specified circumstances. Irrigation method and legal details can affect the applicable rate.,ten,,
زكاة الفطر,"The prescribed charity given at the end of Ramadan for eligible household members, traditionally in staple food and, according to some jurists, its monetary value. It supports the needy before Eid prayer.",festival charity,,
الصدقة الجارية,"Charity whose benefit and reward continue over time, such as an enduring service or asset. Continuity comes from lasting benefit, not repeated payment alone.",continuous charity,,
الوقف,Permanently dedicating an asset's benefit to a lawful charitable or family purpose while preserving the underlying asset. Its disposal is restricted by the endowment terms.,endowment,وَقَفَ (verb) — stop; stand | وَاقِف (noun) — endower; one who establishes a waqf,Ordinary context: stop; pause.
الواقف,"The person who establishes an endowment. It is a technical donor role, not a person who is standing.",one who stops,,
الموقوف عليه,"The person, group, or purpose designated to receive the benefit of an endowment. A literal translation such as ""the stopped-upon"" is unintelligible.",the stopped-upon,,
الوقف الأهلي,"A family endowment established for descendants or designated relatives. It is a recognized type of endowment, not ordinary inheritance distribution.",private charity,,
الوقف الخيري,An endowment dedicated to public or charitable benefit. The underlying asset is normally preserved while its income or use is distributed.,charity fund,,
بيت المال,"The public treasury holding communal revenue and funding public needs as a trust. It is an institution of public finance, not a private storehouse.",house of money,,
الفيء,Property or revenue acquired by a classical Muslim polity without direct battle and distributed under specific legal rules. It is distinct from ordinary war booty.,spoils,,Natural-world/classical context: returning shade; shadow after the sun passes.
الغنيمة,"Property acquired in lawful armed conflict under recognized public authority in classical Islamic law. It is a regulated historical category, not permission for private plunder.",loot,,General figurative context: valuable gain; advantageous opportunity.
الخراج,"A historical land-based public revenue imposed under defined legal rules. It is a specific fiscal category, not a general word for all taxation.",tax,,General/economic context: output/yield; revenue.
الجزية,"A historical payment imposed within particular protection and exemption arrangements under a Muslim polity. It belongs to a specific classical legal system and should not be reduced to the word ""tribute."".",tribute,,
الأمانة المالية,"Fiduciary responsibility for wealth belonging to another person or the public. It requires preservation, disclosure, and use only within authorized limits.",financial honesty,,
الاستخلاف في المال,Understanding human ownership as delegated stewardship under Allah's ultimate ownership. It places moral limits and accountability on the use of wealth.,stewardship of wealth,,
الكسب الطيب,"Lawful and ethically sound earning free from prohibited means and harm. The word ""wholesome"" adds integrity and benefit beyond formal legality.",good income,,
القوام,"A sufficient and balanced level of spending that maintains life without waste or deprivation. Here the word means proper proportion, not standing posture.",standing,,Physical/general context: stature/build; consistency/structure.
ترشيد الاستهلاك,Managing consumption wisely according to genuine need and avoiding waste. It does not necessarily mean austerity or rationing.,rationing,,
التكسب,Actively seeking lawful livelihood. The word describes earning effort and does not automatically imply profiteering or greed.,profiteering,,
التعفف,Preserving dignity by refraining from begging or unlawful gain despite need. It does not require hiding genuine need from legitimate sources of support.,abstinence,,
الأجل,"An appointed term or fixed endpoint for a life, event, debt, or community. Context determines whether it means lifespan, due date, or contractual period.",deadline,,
سكرات الموت,The intense distress and altered state accompanying the approach of death. The expression uses the image of intoxication but does not refer to a substance.,agonies of death,,
التلقين,"Gently prompting a dying Muslim to say the testimony of faith; in other contexts, teaching or prompting a doctrine. At the deathbed it should not mean coercive repetition.",indoctrination,لَقَّنَ (verb) — prompt; instruct | مُلَقِّن (noun) — prompter; instructor,
حسن الخاتمة,"An end to life marked by faith and obedience and hoped-for signs of Allah's favour. It concerns the final spiritual state, not a painless or socially successful death.",happy ending,,
سوء الخاتمة,An end to life marked by unbelief or grave disobedience. The final standing of a particular person should not be asserted without sound evidence.,bad ending,,
قبض الروح,"The soul being taken from the body at the appointed time of death. It is a theological expression, not a physiological explanation.",seizing the spirit,,
الروح,"The created spirit associated with life, whose full reality is known to Allah. Depending on context, the word can also refer to revelation, Gabriel, or spiritual support and is not always identical to the accountable self or soul.",soul,رُوحِيّ (adjective) — spiritual; pertaining to spirit | أَرْوَاح (plural) — spirits; souls,
النفس,"The self or soul as the accountable person, with different moral states. It can mean the person, life, soul, or appetitive self, so ""ego"" is too narrow.",ego,نَفْسِيّ (adjective) — psychological; mental | أَنْفُس (plural) — selves; persons,Different vocalization (النَّفَس): breath.
النفس الأمارة,"The self insofar as it repeatedly urges a person toward wrongdoing. It describes a moral tendency, not a separate being inside the person.",commanding soul,,
النفس اللوامة,"The self that reproaches itself and awakens moral accountability. It can describe conscience and inner struggle, not pathological self-hatred.",blaming soul,,
النفس المطمئنة,"The self made tranquil through faith, remembrance, and trust in Allah. Its tranquillity is spiritual settlement, not the absence of all sorrow.",comfortable soul,,
البرزخ,The intermediate realm or barrier between death and resurrection. It has a distinct Islamic meaning and should not be treated as identical to Christian purgatory.,purgatory,,Physical/geographical context: barrier; isthmus.
عالم البرزخ,"The mode of existence between death and resurrection. It is a theological realm or state, not a geographical world.",world of barriers,,
نعيم القبر,"Comfort and divine favour granted in the intermediate state after death. It refers to an unseen condition, not physical luxury inside the soil.",grave pleasure,,
عذاب القبر,Punishment in the intermediate state for those liable to it. It is an unseen theological doctrine and should not be reduced to sensational physical imagery.,grave torture,,
فتنة القبر,"The questioning and test associated with the grave after death. Here the word means examination, not worldly temptation or civil conflict.",trial of the grave,,
سؤال الملكين,"The questioning by two angels in the intermediate state. The Arabic word means two angels, not two kings.",questioning by the two angels,,
منكر ونكير,The traditional proper names of the two angels associated with questioning in the grave. They should not be translated as ordinary adjectives.,Munkar and Nakir,,
البعث,"Allah's raising the dead to life for judgment. Although the word can mean sending, in eschatological context it means resurrection.",mission,,Administrative/military context: dispatch; mission/delegation.
النشور,"The dead rising and spreading forth after resurrection. In this context the word means emergence to judgment, not publication.",publication,,
الساعة,"The appointed Hour when the present world ends and resurrection begins. It is an eschatological proper expression, not a sixty-minute period.",clock,,
أشراط الساعة,"The signs indicating the approach of the Last Hour. Here the word means signs or markers, not legal conditions.",signs of the Hour,,
علامات الساعة,"Events and conditions regarded as signs of the Last Hour. Reports differ in authenticity and interpretation, so individual claims require care.",time indicators,,
النفخ في الصور,"The angelic blowing of the Trumpet that begins the cosmic events of death and resurrection. In this context, the Arabic word means the Trumpet, not images.",blowing the Trumpet,,
الصور,"The eschatological Trumpet blown by the angel. Without vowel marks, the written word is easily confused with another word meaning pictures or forms.",images,,
الصعق,"Overwhelming collapse, loss of consciousness, or death caused by the cosmic blast. It does not specifically mean electric shock.",electrocution,,Natural/medical context: lightning strike; severe shock/stunning.
الحشر,"The gathering of all creation for judgment. It is a divinely compelled universal assembly, not an ordinary crowd.",crowding,,General social context: crowding; mustering/gathering.
المحشر,"The place or condition in which all creation is gathered for judgment. It is an eschatological setting, not merely a crowd.",crowd,,
الموقف,The great standing and overwhelming situation before Allah on the Day of Judgment. Here the word means more than an ordinary position or viewpoint.,position,,General discourse: stance/opinion; situation/scene.
أرض المحشر,"The transformed ground upon which creation is gathered. It is an eschatological expression, not a present geographic site.",land of the crowd,,
العرض,"The presentation of a person and their record before Allah for review. In eschatological context, it means exposure to judgment, not a performance or commercial offer.",display,,Different vocalizations: width (العَرْض); honour/reputation (العِرْض).
الحساب اليسير,A merciful presentation of the record without exacting interrogation. It does not mean that the person performed only a small number of deeds.,simple calculation,,
الجزاء,"The fitting return for an action, whether reward or punishment. The word can be positive or negative and does not mean penalty alone.",penalty,,
العقاب,"A punitive consequence for culpable wrongdoing. It denotes just accountability, not uncontrolled revenge.",revenge,,Different vocalization (العُقَاب): eagle.
صحيفة الأعمال,The written record of a person's deeds. The word for sheet or record should not be translated as a modern newspaper.,work newspaper,,
تطاير الصحف,"The distribution or flying forth of deed records to their recipients. It is a traditional eschatological image, not newspapers flying.",newspapers flying,,
أصحاب اليمين,Those who receive their records in the right hand and attain salvation. The expression has no connection to modern right-wing politics.,right-wing people,,
أصحاب الشمال,Those associated with receiving their records in the left hand and with loss. The expression has no connection to left-wing politics.,left-wing people,,
وراء الظهر,"Receiving one's record from behind the back as a sign of ruin. It is an eschatological image, not an idiom for secrecy.",behind the back,,
الموازين القسط,The perfectly just scales established for judgment. The qualifying word emphasizes that the weighing contains no injustice.,balanced balances,,
ثقل الموازين,"The saving weight of good deeds in the scales. In this eschatological image, heaviness is favourable rather than burdensome.",heavy weight,,
خفة الموازين,"The ruinous lack of weight in the scale of good deeds. In this eschatological image, lightness is unfavourable.",lightness,,
الورود,"Coming to or passing by a place; in eschatological discussion, approaching Hell. Scholars differ on whether particular passages imply entry or only passage, so context matters.",arrival,,Homograph in unvowelled text: وَرْد means roses; وُرُود means arrival/coming.
الحوض,"The Prophet's basin from which members of his community will drink before entering Paradise. It is a specific eschatological gift, not an ordinary pool.",pool,,
الكوثر,"Abundant divine good and, specifically, a river or basin granted to the Prophet. The word has both a broad lexical meaning and a particular eschatological referent.",abundance,,
الشفاعة الكبرى,"The Prophet's great intercession for judgment to begin after creation has waited in distress. It is a specific eschatological station, not generic advocacy.",great mediation,,
المقام المحمود,"The praised station promised to the Prophet, commonly associated with the great intercession. Here ""station"" refers to rank and honour, not only location.",praiseworthy place,,
الفردوس,The highest or most excellent garden of Paradise. The word can refer specifically to Paradise's highest level rather than any pleasant garden.,paradise,,
دار السلام,"The abode of complete peace, safety, and wholeness, a Qur'anic name for Paradise. It is not an earthly building.",house of peace,,
دار المقامة,The permanent abode whose inhabitants no longer depart or suffer exhaustion. The name emphasizes settled and lasting residence.,house of residence,,
جنات عدن,"Gardens of permanent residence in Paradise. The word ""Adn"" emphasizes abiding and should not automatically import every association of the Biblical Eden.",gardens of Eden,,
النعيم,"Complete and lasting well-being and delight free from corruption. It includes comprehensive flourishing, not sensory pleasure alone.",pleasure,,
الرضوان,"Allah's supreme approval and favour. In Qur'anic sermon context, it means divine good pleasure.",satisfaction,,
رؤية الله,"The eschatological doctrine, affirmed in Sunni theology, that believers will see Allah in the Hereafter without defining how or imagining a form.",vision of God,,
الخلود,"Unending or extremely prolonged abiding, with the exact duration determined by context. In statements about the final abodes, it commonly means everlasting residence.",immortality,,
الدرجات,"Ascending ranks of reward corresponding to faith and deeds. They are spiritual levels, not academic grades.",degrees,,
الغرف,"Elevated chambers or dwellings in Paradise. It conveys honoured high residences, not ordinary bedrooms.",rooms,,
الحور العين,"Beautiful and purified companions of Paradise, described with striking eyes. The common rendering ""virgins"" is reductive and does not capture the full expression.",virgins,,
الولدان المخلدون,Ever-youthful attendants serving the people of Paradise. The description concerns service and perpetual youth and carries no sexual implication.,immortal boys,,
السندس,Fine and delicate silk garments of Paradise. The Arabic name may be retained to preserve the specific Qur'anic image.,brocade,,
الإستبرق,"Thick and rich silk brocade associated with Paradise, contrasted with the finer silk called sundus.",silk,,
الرحيق المختوم,"A pure, sealed drink of Paradise protected from contamination and harm. It should not be equated with harmful worldly intoxicants.",sealed wine,,
التسنيم,"A named, elevated spring in Paradise from which those brought nearest to Allah drink. It is a proper eschatological name, not generic water.",a fountain,سَنَّمَ (verb) — raise; make mound-shaped | مُسَنَّم (adjective) — raised; mounded,
السلسبيل,"A named spring in Paradise characterized by pleasant flow and ease of drinking. It is not simply ""ginger water."".",ginger water,,
جهنم,"A principal Qur'anic proper name for Hell. Literary substitutes such as ""inferno"" do not carry its full religious associations.",inferno,,
الجحيم,"A blazing and intensely kindled fire, also used as a name or description of Hell.",hell,,
السعير,A fiercely flaring and continually kindled fire. It can name Hell or describe the intensity of its burning.,blaze,,
سقر,A Qur'anic proper name for Hell associated with scorching punishment. It should not be treated as an ordinary word for fire.,hellfire,,
لظى,"A leaping, skin-searing flame and a Qur'anic name of Hell. It is more specific than fire in general.",flame,,
الحطمة,"The crushing Fire, a Qur'anic name whose root conveys breaking and destroying what is cast into it.",crusher,,
الهاوية,"A plunging abyss and a Qur'anic name for a destination in Hell. The word evokes falling into great depth, not emptiness alone.",pit,,
السموم,"Penetrating scorching heat or wind. In this eschatological context, it does not mean a chemical poison.",poison,,
الحميم,Scalding liquid of extreme heat used as punishment. The same word can mean a close friend in a different context.,intimate friend,,
الغساق,"A foul punishment-fluid described by commentators as intensely cold, putrid, or otherwise tormenting. Because explanations vary, the Arabic name may be retained.",boiling water,,
الزقوم,"The accursed tree whose food is punishment for the people of Hell. It is a proper eschatological name, not a securely identifiable worldly plant.",a plant,,
الضريع,A thorny or noxious food of Hell that neither nourishes nor satisfies. It cannot be confidently identified with one modern plant.,dry grass,,
السلاسل,Chains used in eschatological punishment. In this context the word does not mean sequences or series.,series,,
الأغلال,"Iron collars, fetters, or shackles fastening the condemned. In other contexts, the same word can metaphorically mean rancour.",resentments,,
المقامع,Iron clubs or maces used in punishment. The uncommon plural is easily mistranslated as suppressors or restraints.,suppressors,,
الدركات,"Descending levels of punishment, especially in Hell. The word contrasts with darajat, which commonly refers to ascending ranks.",steps,,
الويل,"A formula expressing severe woe, ruin, or threatened destruction. It should not automatically be translated as the name of a valley in Hell.",valley in Hell,,
الثبور,"A cry for destruction or annihilation when punishment becomes unbearable. It expresses desperate ruin, even though annihilation will not follow.",woe,,
الخلود في النار,Everlasting residence in Hell for those to whom revelation assigns it. The phrase should not be generalized to particular individuals without the relevant theological grounds.,long imprisonment,,
الأعراف,"The elevated partition or heights between Paradise and Hell described in the Qur'an. It is a proper eschatological place, not social customs.",customs,,
أصحاب الأعراف,People associated with the heights who recognize other groups by their marks. Qur'anic commentators differ about their precise identity.,people of customs,,
الوعيد,"A solemn divine warning of punishment for wrongdoing. Repentance, forgiveness, and stated conditions may affect its application.",threat,,
الفوز العظيم,The supreme attainment of Allah's approval and Paradise. It is not primarily military or electoral.,great victory,,
المآب,The final place or condition to which a person returns. It emphasizes return to Allah and the ultimate abode.,destination,,
المرجع,"The inevitable return of all people and affairs to Allah. Here the word means destination or return, not a citation source.",reference,,
المصير,The final outcome and destination toward which one's course leads. It connects conduct with its end and does not mean blind fate.,fate,,
الرسول,"A messenger commissioned by Allah to convey revelation. The word can refer to a human or angelic messenger, depending on context.",apostle,,
النبوة,"The divinely granted office and reality of prophethood. It concerns revelation and religious mission, not prediction of future events.",prediction,,
الرسالة,"The divinely entrusted message and mission carried by a messenger. In ordinary language, the same word can mean a letter or treatise.",letter,,Academic context: thesis; dissertation.
خاتم النبيين,"The final Prophet, after whom no prophet will arise. The expression conveys both finality and completion, not merely a decorative seal.",seal of prophets,,
المصطفى,"The one specially chosen, commonly used as an epithet for Prophet Muhammad. It means ""the chosen one,"" not ""the purified one."".",the purified one,,
المجتبى,The one specially selected and drawn near by Allah. It is a devotional epithet expressing divine choice.,the collector,,
الحبيب,"The beloved one; in devotional speech, an epithet for the Prophet. It means the one who is loved, not a romantic partner.",lover,,
البشير,The messenger who brings hope-giving good news. It is a prophetic function balanced by warning.,announcer,,
النذير,"The messenger who gives timely warning before accountability. The warning is intended to allow repentance and change, not merely to threaten.",threatener,,
السراج المنير,"An illuminating lamp that spreads guidance, a Qur'anic description of the Prophet. It is a metaphor for guidance and does not imply divinity.",bright lamp,,
الأسوة,"A model whose conduct is consciously followed. It is an embodied pattern for imitation, not an isolated example.",example,,
القدوة,A person or pattern taken as a practical moral model. It emphasizes imitation through conduct rather than formal authority.,leader,,
الشمائل,"The Prophet's physical appearance, habits, temperament, and noble character. It is also the name of a devotional literary genre.",features,,
الدلائل,"The signs and evidences demonstrating prophethood, including miracles, fulfilled reports, character, and historical proof.",indicators,,
الإرهاص,An extraordinary sign occurring before a prophet's mission as preparation for it. It is distinct from a miracle granted after the prophetic mission begins.,premonition,أَرْهَصَ (verb) — foreshadow; precede as a sign | مُرْهِص (adjective) — foreshadowing; premonitory,
الكرامة الخارقة,An extraordinary occurrence granted by Allah to a righteous servant without a claim to prophethood. It does not establish new law or prove every claim made by the recipient.,miracle,,
العصمة,"Allah's protection of prophets from error or sin in the respects defined by theology. Religious schools differ on its precise scope, and it does not mean prophets cease to be human.",infallibility,,Family/legal context: marital bond; protection of the marriage tie.
التبليغ,"Faithfully conveying revelation without concealment or alteration. It is a prophetic duty and, more broadly, a responsibility of careful religious transmission.",broadcasting,بَلَّغَ (verb) — convey; deliver | مُبَلِّغ (noun) — conveyor; notifier,
الأمانة النبوية,The Prophet's complete trustworthiness in conveying revelation and fulfilling every entrusted duty. It is broader than simply not lying.,honesty,,
